File 1,File 2,Similarity (%)
WASTE MANAGEMENT AND RECOVERY.pdf,ectrl.pdf,99.91
ectrl.pdf,xplainss.pdf,93.93
WASTE MANAGEMENT AND RECOVERY.pdf,xplainss.pdf,93.91
"HKShashank,23AM025.pdf",ML-2 Assignment-II.pdf,14.96
ML-2 Assignment-II.pdf,xplainss.pdf,1.21
ML-2 Assignment-II.pdf,WASTE MANAGEMENT AND RECOVERY.pdf,1.2
"HKShashank,23AM025.pdf",WASTE MANAGEMENT AND RECOVERY.pdf,1.13
ML-2 Assignment-II.pdf,ectrl.pdf,1.1
"HKShashank,23AM025.pdf",ectrl.pdf,1.02
"HKShashank,23AM025.pdf",xplainss.pdf,1.01


Summary:
Highly Similar Submissions (Possible Plagiarism Detected):
WASTE MANAGEMENT AND RECOVERY.pdf and ectrl.pdf -> 99.91%
ectrl.pdf and xplainss.pdf -> 93.93%
WASTE MANAGEMENT AND RECOVERY.pdf and xplainss.pdf -> 93.91%
